,DataFrame,Variable,Best Model,R-squared,Params
0,Original,OverallQual,Polinómico,0.7047721389566968,[  482.23959117  -714.05196667  9911.29891999 71598.84692003]
1,Original,TotalBsmtSF,Polinómico,0.41161403104388317,[-1.56544330e-05  1.02318540e-01 -3.52757622e+01  1.14777978e+05]
2,Original,1stFlrSF,Lineal,0.3554262726817655,[  126.15647806 34305.16230946]
3,Original,GrLivArea,Potencia,0.4983129871930576,[248.23115636   0.90093694]
4,Original,GarageArea,Cuadrático,0.4168596303416545,[6.06714394e-02 1.72174752e+02 8.36421591e+04]
5,adasyn,OverallQual,Polinómico,0.5719457328415843,[  -307.67751922   8605.72426529 -16843.38134596  88897.92904484]
6,adasyn,TotalBsmtSF,Polinómico,0.4789283738026544,[-6.79070208e-06  2.22764129e-02  1.06918528e+02  5.85553800e+04]
7,adasyn,1stFlrSF,Polinómico,0.4864762538587606,[-1.62240504e-05  6.03076574e-02  7.13232442e+01  4.68501703e+04]
8,adasyn,GrLivArea,Polinómico,0.575976307502721,[-1.16481096e-05  6.22626528e-02  2.06533079e+01  5.06340079e+04]
9,adasyn,TotRmsAbvGrd,Polinómico,0.33165717831106567,[  -550.62529384   9346.88498599 -19263.18766338 135549.22962251]
10,adasyn,GarageArea,Polinómico,0.3611814648006072,[-6.42764981e-04  1.07087921e+00 -2.13783059e+02  1.14733983e+05]
11,smote,OverallQual,Cuadrático,0.6942809805081969,[  6064.64620691 -13472.39726885  92406.65793803]
12,smote,MasVnrArea,Raíz Cuadrada,0.32278071506060946,[  5321.38202665 159135.35008301]
13,smote,BsmtFinSF1,Polinómico,0.41413825683013894,[-3.91156107e-05  2.47612285e-01 -1.56392687e+02  1.87342020e+05]
14,smote,TotalBsmtSF,Polinómico,0.5835497662875915,[-1.60565843e-05  9.93821186e-02  2.14230956e+00  9.03016937e+04]
15,smote,1stFlrSF,Polinómico,0.4800558912475613,[-2.36920401e-05  1.15499966e-01 -5.51121362e+00  7.59947235e+04]
16,smote,GrLivArea,Polinómico,0.5397677294732229,[-1.08641228e-05  7.07876585e-02 -9.41746408e+00  7.37869008e+04]
17,smote,TotRmsAbvGrd,Cuadrático,0.3443278169086267,[  941.91020982 24274.98893532 67432.69353431]
18,smote,GarageArea,Polinómico,0.4216172179973138,[-6.32984898e-04  1.08698673e+00 -2.26563278e+02  1.11657987e+05]
19,log_sale_Original,OverallQual,Lineal,0.6773990207140546,[ 0.23424371 10.82778424]
20,log_sale_Original,TotalBsmtSF,Polinómico,0.3909768957862615,[-4.49357907e-11  2.37199527e-07  2.92167442e-04  1.14924792e+01]
21,log_sale_Original,1stFlrSF,Logarítmico,0.36769209263684377,[0.77121111 6.61835432]
22,log_sale_Original,GrLivArea,Logarítmico,0.535750101911558,[0.88393082 5.59788624]
23,log_sale_Original,TotRmsAbvGrd,Raíz Cuadrada,0.3118254791642793,[ 0.56435891 10.84371103]
24,log_sale_Original,GarageArea,Polinómico,0.4369890208883819,[-1.77466011e-09  2.67894742e-06  1.88510583e-04  1.15213695e+01]
25,log_sale_adasyn,OverallQual,Polinómico,0.5907962544990066,[-1.47851410e-03  1.46088296e-02  2.10723268e-01  1.08397266e+01]
26,log_sale_adasyn,TotalBsmtSF,Polinómico,0.47788918750971854,[-1.29393701e-11 -4.63872436e-08  7.90949205e-04  1.13072792e+01]
27,log_sale_adasyn,1stFlrSF,Cuadrático,0.49870325545426786,[-2.41573728e-07  1.32440798e-03  1.08674844e+01]
28,log_sale_adasyn,GrLivArea,Cuadrático,0.6120691319764904,[-1.81321383e-07  1.23464720e-03  1.06360526e+01]
29,log_sale_adasyn,TotRmsAbvGrd,Logarítmico,0.34838681459594434,[ 0.74131341 10.84378556]
30,log_sale_adasyn,GarageArea,Cuadrático,0.4259277586341592,[-8.10347199e-07  2.07152193e-03  1.13106050e+01]
31,log_sale_smote,OverallQual,Lineal,0.7266785521960517,[ 0.25157723 10.80239266]
32,log_sale_smote,MasVnrArea,Raíz Cuadrada,0.3186063063792052,[ 0.02505533 11.91774547]
33,log_sale_smote,BsmtFinSF1,Polinómico,0.32497735879022216,[-1.45489396e-10  9.01713024e-07 -4.65542906e-04  1.20140875e+01]
34,log_sale_smote,TotalBsmtSF,Polinómico,0.5311128383839748,[-3.55048032e-11  1.28358952e-07  6.41022180e-04  1.12909148e+01]
35,log_sale_smote,1stFlrSF,Lineal,0.4187506923819352,[7.20780793e-04 1.12326506e+01]
36,log_sale_smote,GrLivArea,Polinómico,0.5753523307277052,[-2.85841387e-12 -1.26712100e-07  1.10412140e-03  1.07234266e+01]
37,log_sale_smote,TotRmsAbvGrd,Lineal,0.32091185767660224,[ 0.1609559  11.37832106]
38,log_sale_smote,GarageArea,Polinómico,0.4391895906111237,[-2.43657509e-09  3.56330224e-06  1.11757826e-04  1.14568778e+01]
